1:Aballay, Alejandro
1891:HILTON, MATTHEW JAMES
1892:Sosa, Julie Ann
1893:Hobson-Webb, Lisa Deneen
1894:Juel, Vern Charles
1895:Mhoon, Justin
1896:Massey, Janice Munn
1897:Sanders, Donald Benjamin
1898:Hochgeschwender, Ute
1899:Jarvis, Erich David
1900:Hockenberry, Marilyn J
1901:Rodgers, Cheryl C
1902:Hohmeier, Hans-Ewald
1903:Moss, Larry Gene
1904:Knobel, Robin Britt
1905:Ingram, Jennifer Leigh
1906:Wang, Ying
1907:Hoover, Kevin Douglas
1908:Hotz, Nico
1909:Howard, Brandon Augustus
1910:Reid, Chantal D.
1911:Hsieh, David A.
1912:Schwartz-Bloom, Rochelle Denenberg
1913:Huang, Andrew T.
1914:Huang, Erich Senin
1915:Zhu, Jiangao
1916:Moorman, Christine
1917:Hueckel, Tomasz
1918:Kranton, Rachel
1919:Hull, Court Alan
1920:Johnson, Zackary
1921:Hutter, Reinhard
1922:Wu, Bei
1923:Hyslop, Theresa Marie
1924:Idriss, Salim Farouk
1925:Neu, Wanda Krassowska
1926:Yashin, Anatoli I.
1927:Pratson, Lincoln F.
1928:Porporato, Amilcare
1929:Newell, Richard G.
1930:Plata, Desiree Louise
1931:Jaimovich, Nir
1932:James, Tamara M.
1933:Jang, David W
1934:Jaquiss, Robert
1935:Jenson, Deborah
1936:Jentleson, Bruce W.
1937:Weinthal, Erika S.
1938:Ji, Ru-Rong
1939:Xu, Zhenzhong
1940:Tracey Jr., William Daniel
1941:Johnsen, Sonke
1942:Sullivan, Dori Taylor
1943:Lyn, Michelle Jacqueline
1944:Payne, Richard
1945:Johnson, Tana L.
1946:Johnson, Timothy Lawrence
1947:Patino-Echeverri, Dalia
1948:Johnston, Christopher David
1949:Liu, Qing Huo
1950:Jordt, Sven Eric
1951:Liu, Boyi
1952:Joseph, John
1953:Joshi, Anand B.
1954:Juvvadi, Praveen Rao
1955:Kamei, Robert Ken
1956:Kravitz, Richard Mark
1957:Kasibhatla, Prasad S.
1958:Kastan, Michael Barry
1959:Matsunami, Hiroaki
1960:Katsouleas, Thomas
1961:Khlystov, Andrey
1962:Kumar, Mukesh
1963:Katz, David F.
1964:Kaul, Mala Shaykher
1965:Kay, Jeremy N.
1966:Kay, Richard Frederick
1967:Raynor, Eileen Margolies
1968:Kearney, Hutton Moore
1969:Keenan, Robert Thomas
1970:Keene, Jack Donald
1971:Keeney, Ralph L.
1972:Nau, Robert F.
1973:Kelley, Judith
1974:Kim, Grace Jewel
1975:Kim, Hwansoo
1976:Kim, So Young
1977:Kimbrough, Kent P.
1978:Kirk, Robin
1979:Kitschelt, Herbert P.
1980:Klein, Emily M.
1981:Klingensmith, John Archbold
1982:Klotman, Mary E
1983:Knio, Omar Mohamad
1984:Ko, Dennis
1985:Tobin, David Maurice
1986:Koelle, Katharina V.
1987:Mattingly, Jonathan Christopher
1988:Reed, Michael C.
1989:Whetten, Kathryn
1990:Kohrt, Brandon A.
1991:Walther, Philip John
1992:Washington, Edith Lacey
1993:Kramer, Randall
1994:Krangel, Michael S.
1995:Kreissman, Susan Gail
1996:Kreuzer, Kenneth N.
1997:Krishna, Anirudh
1998:Krolik, Jeffrey L.
1999:Rose, Jed Eugene
2000:Zhang, Wei
2001:Yoder, Anne Daphne
2002:Lisanby, Sarah Hollingsworth
2003:McClintock, Shawn Michael
2004:Kucera, Kristen Leigh
2005:Kuehn, Margarethe Joanna
2006:Roberts, Craig D
2007:Simon, Sidney Arthur
2008:Stangl, Dalene K.
2009:Kulchina, Elena
2010:Rhee, Eleanor Hoon Joo
2011:Price, Thomas Michael
2012:Kumar, Amy Shah
2013:Walsh, Molly McCarthy
2014:Kuran, Timur
2015:Pizoli, Carolyn Elizabeth
2016:Sun, Jessica Muller
2017:Worley, Gordon
2018:Lachiewicz, Ave Maria
2019:Lambe, Camille Eckerd
2020:Lampel, Heather Pamela
2021:Land, Kenneth C.
2022:Stallard, Patrick J. Eric
2023:Landry, Michel Daniel
2024:Lantos, Paul Michael
2025:Larrick, Richard P.
2026:Wade-Benzoni, Kimberly A.
2027:Soll, Jack B.
2028:Pendergast, Ann Marie
2029:Layton, Harold
2030:Lew, Daniel Julio
2031:Moss, Robert Graeme
2032:Le, Ngoc-Bich
2033:Lechler, Terry H.
2034:Soderling, Scott Haydn
2035:Lee, Benjamin C
2036:Lee, Linda S.
2037:Lee, Tong Hyon
2038:Peindl, Kathleen S.
2039:Wiener, Dana Nowicki
2040:LeGrand, Sara H.
2041:Pence, Brian Wells
2042:McAllaster, Carolyn
2043:Leight Jr., George Staples
2044:Lentz, Aaron Claude
2045:Lesesky, Erin Bialas
2046:Mithani, Suhail Kamrudin
2047:Linney, Elwood Albert
2048:Rosenthal, Mark Zachary
2049:Maggioni, Mauro
2050:Westman, Eric Charles
2051:Lewin, Arie Y.
2052:Li, Fang
2053:Li, Fan
2054:Li, Jia
2055:Zhang, Weiguo
2056:Zhu, Minghua
2057:Zhuang, Yuan
2058:Lieber, Laura Suzanne
2059:Lind, E. Allan
2060:Perz Edwards, Alyssa
2061:Luber, Bruce M.
2062:Lisberger, Stephen Gates
2063:Lischer, Richard
2064:Liss, Jason Aaron
2065:Litvintseva, Anastasia P.
2066:Livingston, Elizabeth Gresham
2067:Turi, Jennifer Lilly
2068:Lombard, Frederick Wilhelm
2069:Longino, Michele
2070:Yellen, Benjamin
2071:Lopomo, Giuseppe
2072:Marx, Leslie M.
2073:Sun, Peng
2074:McAdams, David
2075:Lozier, M. Susan
2076:Ma, Li
2077:Machanavajjhala, Ashwinkumar Venkatanaga
2078:MacIver, Nancie Jo
2079:MacPhail, Richard
2080:Price, Marva L. Mizell
2081:Robinson, Grant Alan
2082:Maggs, Bruce
2083:Maguire, Lynn A.
2084:Makhulu, Anne-Maria B.
2085:Malcolmson, Steven Joseph
2086:MALESKY, EDMUND James
2087:Malkin, Robert A.
2088:Tharwani, Haresh M.
2089:Mann-Wrobel, Monica C.
2090:Manos, Paul S.
2091:Ota, David Masao
2092:Marcus, Jeffrey Robert
2093:Rubin, Geoffrey D
2094:Marshall, David Evelyn
2095:Martinez, Salutario
2096:Maselko, Joanna Asia
2097:Mason, Robert M.
2098:Massey, Edward Wayne
2099:Matchar, David Bruce
2100:Mathey-Prevot, Bernard
2101:Maurel, Arnaud Pierre
2102:Mayer, Frederick W.
2103:Venkatachalam, Mohan
2104:Maziarz, Eileen
2105:Mazuka, Reiko
2106:McCarthy, Jeanette Just
2107:McClay Jr., David R.
2108:McCusker, John Henry
2109:McDevitt, Ryan Carty
2110:Norris, John David
2111:McGlynn, Brian
2112:McGuinness, Gail Ann
2113:St. Geme III, Joseph William
2114:Stockman III, James Anthony
2115:McIntosh, Thomas James
2116:McLean, Heather Seabury
2117:Pan, Enhui
2118:McWilliam, Neil Finlay
2119:Meade, Kristin
2120:Medina, Miguel A.
2121:Mehen, Thomas C.
2122:Springer, Roxanne P.
2123:Mela, Carl Frederick
2124:Meliones, Jon Nicolaos
2125:Merli, M. Giovanna
2126:Morgan, S. Philip
2127:Moody, James
2128:Merwin, Elizabeth
2129:Metjian, Ara Dickran
2130:Metjian, Hilda Morillas
2131:Meyer, William Steven
2132:Mignolo, Walter
2133:Mikkelsen, Maiken
2134:Miller, Ezra
2135:Misra, Uma Kant
2136:Mitchell, Thomas Greenfield
2137:Rausher, Mark D.
2138:Mohanan, Manoj
2139:Nowicki, Stephen
2140:Moosa, Ebrahim E.I.
2141:Moreton, Patrick Shamus
2142:Seigler, Hilliard Foster
2143:Moskovitz, Cary
2144:Valiga, Theresa Mary
2145:Wood, Kathryn Alice
2146:Mottahedeh, Negar
2147:MUASHER, LISA COATES
2148:Muasher, Suheil Jamil
2149:Raburn, Douglas Joe
2150:Mukhin, Alexey Gennadyevich
2151:Munger, Michael C.
2152:Murdoch, David Martin
2153:Murphy, Thomas Miles
2154:Murray, Allen Bradshaw
2155:Murray, Maureen Elizabeth
2156:Musalem, Andres
2157:Musser, Robert Clayton
2158:Nadler, J. Victor
2159:Neal, Katherine Nicole
2160:O'Meara, Wendy P
2161:Nevidjon, Brenda Marion
2162:Pizer, Billy
2163:Summers, Scott Andrew
2164:Ng, Lenhard Lee
2165:Nijhout, H. Frederik
2166:Nolen, James H.
2167:Noonan, Devon
2168:Noor, Juliet
2169:Noor, Mohamed A. F.
2170:Norberg, Jakob
2171:Norton II, John Norman
2172:Olson, Ronald Paul
2173:Park, Chan Woo
2174:O'Neill, Lynn Bunch
2175:Ong, Sin Tiong
2176:Onken, Jane Elizabeth
2177:Onwuemene, Oluwatoyosi Adefunke
2178:O'Rand, Angela M.
2179:Orbach, Michael K.
2180:Paat, John Joseph
2181:Reynolds, John Michael
2182:Pan, Wei
2183:Pan, William Kuang-Yao
2184:Panigrahi, Debmalya
2185:Parkerson Jr., George R.
2186:Patel, Bhavik Natvar
2187:Patierno, Steven
2188:Patton, Andrew J.
2189:Sullivan, Daniel Carl
2190:Pearson, Jay A.
2191:Pei, Zhen-Ming
2192:Peirce, J. Jeffrey
2193:Pekec, Aleksandar
2194:Pena, Loren del Mar
2195:Peretto, Pietro F.
2196:Toffaletti, Dena L.
2197:Perkins, Jennifer Marie
2198:Perlman, Adam I
2199:Perz-Edwards, Robert
2200:Reedy, Michael K.
2201:Peterson, Cecily Karen
2202:Robertson, Sue Jinks
2203:Petroski, Henry
2204:Petters, Arlie O.
2205:Pimm, Stuart L.
2206:Pipkin, Clare Alexandra
2207:Pitts Jr., Monte Bryan
2208:Sudan, Ranjan
2209:Portier-Young, Anathea
2210:Poss, Kenneth Daniel
2211:Poulsen, John Randolph
2212:Powers, David Bryan
2213:Powery, Luke
2214:Schomberg, David William
2215:Pryer, Kathleen M.
2216:Robinson, David T.
2217:Puri, Puja Kumari
2218:Purves, Dale
2219:Quilligan, Maureen
2220:Rabiner, David
2221:Raghavachari, Sridhar
2222:Raghunathan, Karthik
2223:Rampini, Adriano A.
2224:Viswanathan, S.
2225:Ray, Tracy Reece
2226:Reeves, Galen
2227:Reeves, Martha
2228:Reif, John H.
2229:Reinhardt, Richard Lee
2230:Reuter Rice, Karin Eve
2231:Reynolds, James F.
2232:Reynolds, Julie
2233:Thompson Jr., Robert J
2234:Ross, Allison Kinder
2235:Riggsbee, Jan
2236:Wynn, Susan
2237:Roberts, James W.
2238:Robertson, Allison Gilbert
2239:Rodger, Susan H.
2240:Roizen, Jennifer Lyn
2241:Roos, Justus Erasmus
2242:Stiber, Jonathan Andrew
2243:Rosette, Ashleigh Shelby
2244:Ross, Elizabeth Fromm
2245:Roth, Christopher John
2246:Roth, Susan
2247:Roth, Virginia Louise
2248:Smith, Kathleen Kovalevski
2249:Rowe, C. Kavin
2250:Roy, Christopher P.
2251:Rubio-Ramirez, Juan F.
2252:Ruppert, Phillip D.
2253:Rydin-Gray, Sofia
2254:Ryser, Marc Daniel
2255:Saban, Daniel Raphael
2256:Sadowski, Philipp
2257:Sanders, Seth G.
2258:Sanoff, Scott L
2259:Schmid, Amy K.
2260:Schmid, Lukas M.
2261:Schoen, Chadmark L.
2262:Scholberg, Kate
2263:Walter, Christopher
2264:Schultz, Thomas Fred
2265:Schwendimann, Rene
2266:Scovazzi, Guglielmo
2267:Seaman, William
2268:Shah, Purnima
2269:Shang, Kevin H.
2270:Shapiro - Garza, Elizabeth
2271:Sharma, Poonam
2272:Sharp, Jack Kevin
2273:Shaw, A. Jonathan
2274:Sheets, Charles Z
2275:Shenolikar, Shirish
2276:Sherrier, Robert Henry
2277:Sherwood, Nina Tang
2278:Sidhu, Kulbir
2279:Siedow, James N.
2280:Siegel, David Aaron
2281:Silliman, Brian Reed
2282:Silverblatt, Irene
2283:Sinnott-Armstrong, Walter
2284:Sitkin, Sim B.
2285:Smith, Barbara H.
2286:Snyderman, Ralph
2287:So, Anthony
2288:Sobolewski, Craig Joseph
2289:Somjen, George G.
2290:Voyvodic, James Turner
2291:Song, Jing-Sheng
2292:Zipkin, Paul H.
2293:Sosin, Joshua D.
2294:Spector, Andrew
2295:Stallings, Amy Polen
2296:Starmer, Charles F.
2297:Steinberg, David Marc
2298:Stephens, Kristen R.
2299:Stern, Mark A.
2300:Stiff-Roberts, Adrienne
2301:Sullivan, Beth Ann
2302:Sun, Tai-ping
2303:Sun, Xiaobai
2304:Swinney, Robert P
2305:Tang, Shenglan
2306:Tatum, Gregory Howard
2307:Yildirim, Huseyin
2308:Taylor, Steve M
2309:Teitsworth, Stephen W.
2310:Tesson Jr., Alan Ray
2311:Thomann, Wayne R.
2312:Thomas, Cathy Wall
2313:Thomas, John E.
2314:Thorne, Susan
2315:Tiryakian, Edward A.
2316:Toffaletti, John Griffith
2317:Toniolo, Gianni
2318:Virshup, David Marc
2319:Trivedi, Kishor S.
2320:Trotter, Kathryn Jane
2321:Turner, Elizabeth Louise
2322:Ulshen, Martin Howard
2323:Uyenoyama, Marcy K.
2324:Vaisey, Stephen Bradley
2325:Vallero, Daniel
2326:Varas Greene, Luis Felipe
2327:Vashishtha, Rahul
2328:Velkey, John Matthew
2329:Venkatasubramani, Narayanan
2330:Vincent, Jeffrey R.
2331:Virgin, Lawrence N.
2332:Witelski, Thomas Peter
2333:Vithala, Madhuri Venkata
2334:Vogel, Steven
2335:Volkan, Pelin Cayirlioglu
2336:Von Ramm, Olaf T.
2337:Waeber, Jacqueline Rebecca
2338:Wall, Christine Elizabeth
2339:Wang, Qiu
2340:Wechsler, Stephanie Burns
2341:Wei, Yehua
2342:Wernegreen, Jennifer Jo
2343:West, Jennifer L
2344:Whitener, Stephanie Kay
2345:Whitt, Irene
2346:Whorton, Augustus Richard
2347:Widenhoefer, Ross A.
2348:Wigfall, Delbert Raye
2349:Wilbourn, Makeba Parramore
2350:Williams, Blythe A.
2351:Wilson, Ara
2352:Wilson, John
2353:Wilson, William G.
2354:Winkler, Robert L.
2355:Wirzba, Norman
2356:Wong, David B.
2357:Wong, Fulton
2358:Wood, Kris Cameron
2359:Woodward, Julia Taylor
2360:Wu, Yuan
2361:Xu, Yi
2362:Yang, Chung-Hui
2363:Yang, Xiaowei
2364:Yap, Tracey Lee-Ann
2365:Yin, Henry
2366:Yokoyama, Kenichi
2367:York, John David
2368:Zavlanos, Michail
2369:Zhang, Xuefeng
2370:Zychowicz, Michael Edward
